24576
(-8.000000, 0.041066, -3.000000) (0.000000, 0.000000, 0.041066) (0.000000, 1.000000) 
(-7.750000, -0.029295, -3.000000) (0.000000, 0.000000, -0.029295) (0.000000, 1.000000) 
(-8.000000, 0.111063, -2.750000) (0.000000, 0.000000, 0.111063) (0.000000, 1.000000) 
(-8.000000, 0.111063, -2.750000) (0.000000, 0.000000, 0.111063) (0.000000, 1.000000) 
(-7.750000, -0.029295, -3.000000) (0.000000, 0.000000, -0.029295) (0.000000, 1.000000) 
(-7.750000, -0.079229, -2.750000) (0.000000, 0.000000, -0.079229) (0.000000, 1.000000) 
(-8.000000, 0.111063, -2.750000) (0.000000, 0.000000, 0.111063) (0.000000, 1.000000) 
(-7.750000, -0.079229, -2.750000) (0.000000, 0.000000, -0.079229) (0.000000, 1.000000) 
(-8.000000, 0.174155, -2.500000) (0.000000, 0.000000, 0.174155) (0.000000, 1.000000) 
(-8.000000, 0.174155, -2.500000) (0.000000, 0.000000, 0.174155) (0.000000, 1.000000) 
(-7.750000, -0.079229, -2.750000) (0.000000, 0.000000, -0.079229) (0.000000, 1.000000) 
(-7.750000, -0.124236, -2.500000) (0.000000, 0.000000, -0.124236) (0.000000, 1.000000) 
(-8.000000, 0.174155, -2.500000) (0.000000, 0.000000, 0.174155) (0.000000, 1.000000) 
(-7.750000, -0.124236, -2.500000) (0.000000, 0.000000, -0.124236) (0.000000, 1.000000) 
(-8.000000, 0.226419, -2.250000) (0.000000, 0.000000, 0.226419) (0.000000, 1.000000) 
(-8.000000, 0.226419, -2.250000) (0.000000, 0.000000, 0.226419) (0.000000, 1.000000) 
(-7.750000, -0.124236, -2.500000) (0.000000, 0.000000, -0.124236) (0.000000, 1.000000) 
(-7.750000, -0.161519, -2.250000) (0.000000, 0.000000, -0.161519) (0.000000, 1.000000) 
(-8.000000, 0.226419, -2.250000) (0.000000, 0.000000, 0.226419) (0.000000, 1.000000) 
(-7.750000, -0.161519, -2.250000) (0.000000, 0.000000, -0.161519) (0.000000, 1.000000) 
(-8.000000, 0.264606, -2.000000) (0.000000, 0.000000, 0.264606) (0.000000, 1.000000) 
(-8.000000, 0.264606, -2.000000) (0.000000, 0.000000, 0.264606) (0.000000, 1.000000) 
(-7.750000, -0.161519, -2.250000) (0.000000, 0.000000, -0.161519) (0.000000, 1.000000) 
(-7.750000, -0.188760, -2.000000) (0.000000, 0.000000, -0.188760) (0.000000, 1.000000) 
(-8.000000, 0.264606, -2.000000) (0.000000, 0.000000, 0.264606) (0.000000, 1.000000) 
(-7.750000, -0.188760, -2.000000) (0.000000, 0.000000, -0.188760) (0.000000, 1.000000) 
(-8.000000, 0.286340, -1.750000) (0.000000, 0.000000, 0.286340) (0.000000, 1.000000) 
(-8.000000, 0.286340, -1.750000) (0.000000, 0.000000, 0.286340) (0.000000, 1.000000) 
(-7.750000, -0.188760, -2.000000) (0.000000, 0.000000, -0.188760) (0.000000, 1.000000) 
(-7.750000, -0.204264, -1.750000) (0.000000, 0.000000, -0.204264) (0.000000, 1.000000) 
(-8.000000, 0.286340, -1.750000) (0.000000, 0.000000, 0.286340) (0.000000, 1.000000) 
(-7.750000, -0.204264, -1.750000) (0.000000, 0.000000, -0.204264) (0.000000, 1.000000) 
(-8.000000, 0.290271, -1.500000) (0.000000, 0.000000, 0.290271) (0.000000, 1.000000) 
(-8.000000, 0.290271, -1.500000) (0.000000, 0.000000, 0.290271) (0.000000, 1.000000) 
(-7.750000, -0.204264, -1.750000) (0.000000, 0.000000, -0.204264) (0.000000, 1.000000) 
(-7.750000, -0.207069, -1.500000) (0.000000, 0.000000, -0.207069) (0.000000, 1.000000) 
(-8.000000, 0.290271, -1.500000) (0.000000, 0.000000, 0.290271) (0.000000, 1.000000) 
(-7.750000, -0.207069, -1.500000) (0.000000, 0.000000, -0.207069) (0.000000, 1.000000) 
(-8.000000, 0.276155, -1.250000) (0.000000, 0.000000, 0.276155) (0.000000, 1.000000) 
(-8.000000, 0.276155, -1.250000) (0.000000, 0.000000, 0.276155) (0.000000, 1.000000) 
(-7.750000, -0.207069, -1.500000) (0.000000, 0.000000, -0.207069) (0.000000, 1.000000) 
(-7.750000, -0.196998, -1.250000) (0.000000, 0.000000, -0.196998) (0.000000, 1.000000) 
(-8.000000, 0.276155, -1.250000) (0.000000, 0.000000, 0.276155) (0.000000, 1.000000) 
(-7.750000, -0.196998, -1.250000) (0.000000, 0.000000, -0.196998) (0.000000, 1.000000) 
(-8.000000, 0.244868, -1.000000) (0.000000, 0.000000, 0.244868) (0.000000, 1.000000) 
(-8.000000, 0.244868, -1.000000) (0.000000, 0.000000, 0.244868) (0.000000, 1.000000) 
(-7.750000, -0.196998, -1.250000) (0.000000, 0.000000, -0.196998) (0.000000, 1.000000) 
(-7.750000, -0.174680, -1.000000) (0.000000, 0.000000, -0.174680) (0.000000, 1.000000) 
(-8.000000, 0.244868, -1.000000) (0.000000, 0.000000, 0.244868) (0.000000, 1.000000) 
(-7.750000, -0.174680, -1.000000) (0.000000, 0.000000, -0.174680) (0.000000, 1.000000) 
(-8.000000, 0.198357, -0.750000) (0.000000, 0.000000, 0.198357) (0.000000, 1.000000) 
(-8.000000, 0.198357, -0.750000) (0.000000, 0.000000, 0.198357) (0.000000, 1.000000) 
(-7.750000, -0.174680, -1.000000) (0.000000, 0.000000, -0.174680) (0.000000, 1.000000) 
(-7.750000, -0.141501, -0.750000) (0.000000, 0.000000, -0.141501) (0.000000, 1.000000) 
(-8.000000, 0.198357, -0.750000) (0.000000, 0.000000, 0.198357) (0.000000, 1.000000) 
(-7.750000, -0.141501, -0.750000) (0.000000, 0.000000, -0.141501) (0.000000, 1.000000) 
(-8.000000, 0.139513, -0.500000) (0.000000, 0.000000, 0.139513) (0.000000, 1.000000) 
(-8.000000, 0.139513, -0.500000) (0.000000, 0.000000, 0.139513) (0.000000, 1.000000) 
(-7.750000, -0.141501, -0.750000) (0.000000, 0.000000, -0.141501) (0.000000, 1.000000) 
(-7.750000, -0.099523, -0.500000) (0.000000, 0.000000, -0.099523) (0.000000, 1.000000) 
(-8.000000, 0.139513, -0.500000) (0.000000, 0.000000, 0.139513) (0.000000, 1.000000) 
(-7.750000, -0.099523, -0.500000) (0.000000, 0.000000, -0.099523) (0.000000, 1.000000) 
(-8.000000, 0.071995, -0.250000) (0.000000, 0.000000, 0.071995) (0.000000, 1.000000) 
(-8.000000, 0.071995, -0.250000) (0.000000, 0.000000, 0.071995) (0.000000, 1.000000) 
(-7.750000, -0.099523, -0.500000) (0.000000, 0.000000, -0.099523) (0.000000, 1.000000) 
(-7.750000, -0.051358, -0.250000) (0.000000, 0.000000, -0.051358) (0.000000, 1.000000) 
(-8.000000, 0.071995, -0.250000) (0.000000, 0.000000, 0.071995) (0.000000, 1.000000) 
(-7.750000, -0.051358, -0.250000) (0.000000, 0.000000, -0.051358) (0.000000, 1.000000) 
(-8.000000, -0.000000, 0.000000) (0.000000, 0.000000, -0.000000) (0.000000, 1.000000) 
(-8.000000, -0.000000, 0.000000) (0.000000, 0.000000, -0.000000) (0.000000, 1.000000) 
(-7.750000, -0.051358, -0.250000) (0.000000, 0.000000, -0.051358) (0.000000, 1.000000) 
(-7.750000, 0.000000, 0.000000) (0.000000, 0.000000, 0.000000) (0.000000, 1.000000) 
